quiz_no,quiz_title,q_no,q_type,stem,options,answer,analysis,is_open,source_file
033,庄严佛土,11,单选题,11．【单选题】依据课程内容，阿弥陀佛在哪里成佛？,A. 在娑婆世界成佛。 || B. 在法藏比丘因地修行的世界成佛。 || C. 在净琉璃世界成佛。 || D. 在他的因地发愿所要成就、所要庄严的那一方净土成佛。,D,阿弥陀佛在哪儿成佛？就是在他的因地发愿所要成就、所要庄严的那一方净土成佛。他所成就的净土，就叫作“极乐世界”。,0,/Users/apple/study/buddhism/output/quizzes.csv
033,庄严佛土,12,多选题,12.【多选题】依据课程内容，关于“药师佛”以下说法中正确的有哪些？,A. “药师佛”全名叫“消灾延寿药师佛”。 || B. “药师佛”全名叫“药师琉璃光佛”。 || C. 药师佛在因地作菩萨的时候，发了十二个大愿，这是他的本愿，也叫别愿。 || D. 药师佛的愿圆满了，成就的净土叫作“净琉璃世界”。,BCD,老百姓叫“药师佛”，其实全名叫“药师琉璃光佛”。释迦牟尼讲了一部经叫作《药师琉璃光如来本愿功德经》，这尊佛的本愿就是他的别愿。在《药师经》当中，释迦牟尼告诉我们，这位药师佛在因地、在他作菩萨的时候，也发了大愿，发了十二个大愿。经过多生累劫的勤苦修行，他的愿圆满了，他的净土成就了，他的净土就叫作“净琉璃世界”。,0,/Users/apple/study/buddhism/output/quizzes.csv
033,庄严佛土,13,多选题,13.【多选题】以下选项中关于“西方极乐世界”与“东方净琉璃世界”的说法，正确的有哪些？,A. 阿弥陀佛的极乐世界叫做“西方极乐世界”。 || B. 药师琉璃光佛的净琉璃世界叫做“东方净琉璃世界”。 || C. 一东一西，在这里，东、西是表法的：东边是太阳初升的地方，因此表生，西边是太阳落山的地方，因此表死，所以一个是以生度众生，一个是以死度众生。 || D. 东方净琉璃世界的药师琉璃光佛和西方极乐世界的阿弥陀佛，一东一西，一生一死，生死不二，这两部法在弘扬上，一定要等持。,ABCD,阿弥陀佛的极乐世界叫“西方极乐世界”，药师琉璃光佛的净琉璃世界叫“东方净琉璃世界”。一东一西，在这里，东、西是表法的：东边是太阳初升的地方，因此表生，西边是太阳落山的地方，因此表死。所以一个是以生度众生，一个是以死度众生。这就是东方净琉璃世界的药师琉璃光佛和西方极乐世界的阿弥陀佛，一东一西，一生一死，生死不二。所以这两部法在弘扬上，一定要等持。,0,/Users/apple/study/buddhism/output/quizzes.csv
033,庄严佛土,14,多选题,14.【多选题】药师佛因地的十二大愿与阿弥陀佛因地的四十八大愿有什么区别？,A. 阿弥陀佛的愿重在死后接引往生极乐世界。 || B. 阿弥陀佛的愿重在当下利益众生。 || C. 药师佛的大愿重在死后，引导众生趋向人天果报。 || D. 药师佛的大愿重在当下，在众生生的时候利益众生，而引导众生趋向无上菩提。,AD,比较药师佛因地的十二大愿与阿弥陀佛因地的四十八大愿，那么他们的愿有什么区别呢？阿弥陀佛的愿重在死后接引往生极乐世界，药师佛的大愿重在当下，在众生生的时候利益众生，而引导众生趋向无上菩提。,0,/Users/apple/study/buddhism/output/quizzes.csv
033,庄严佛土,15,多选题,15.【多选题】依据课程内容，对于“菩萨真的庄严了自己的佛土了吗”这个问题，须菩提是如何回答的？,A. 须菩提回答说，菩萨庄严佛土了。 || B. 须菩提回答说：“不也，世尊”，就是“老师，菩萨没有庄严佛土”。 || C. 须菩提说“庄严佛土者，即非庄严，是名庄严”，这是鸠摩罗什译本第一次出现《金刚经》著名三段论。 || D. “庄严佛土者，即非庄严，是名庄严”，就是佛陀说庄严佛土，它就不是庄严佛土，只是称为、名为庄严佛土。,BCD,须菩提回答说：“老师啊，菩萨没有庄严佛土”，“何以故？”，我为什么这么回答呢？“庄严佛土者，即非庄严，是名庄严”。这是鸠摩罗什译本第一次出现的《金刚经》著名三段论。须菩提说：为什么我说菩萨没有庄严佛土呢？因为佛陀说庄严佛土，它就不是庄严佛土，它只是称为、名为庄严佛土。,0,/Users/apple/study/buddhism/output/quizzes.csv
033,庄严佛土,16,填空题,16.【填空题】“（ ），（），（）”，这是《金刚经》著名的三段论的通用表达。,,佛说什么，即非什么，是名什么,“佛说什么，即非什么，是名什么”，这是《金刚经》著名的三段论。,0,/Users/apple/study/buddhism/output/quizzes.csv
033,庄严佛土,17,多选题,17.【多选题】关于二谛模式，下列选项中理解正确的有哪些？,A. 在佛陀的二时教法当中，佛陀用二谛模式来解构凡夫自以为的真实世界。 || B. 课程中把二谛分成四重二谛，四重二谛又分两组。 || C. 第一重二谛和第二重二谛是第一组，第三重二谛和第四重二谛是第二组。 || D. 第一组二谛，概括为四个字：缘生性空。,ABCD,在佛陀的二时教法当中，佛陀解构我们凡夫自以为的真实世界的时候，用了二谛模式。我们把二谛分成四重二谛，四重二谛又分两组，第一重二谛和第二重二谛是第一组，第三重二谛和第四重二谛是第二组。前面的课程已经学习了第一组二谛，也就是第一重二谛和第二重二谛，概括起来是四个字：缘生性空。,0,/Users/apple/study/buddhism/output/quizzes.csv
033,庄严佛土,18,判断题,18.【判断题】要对《金刚经》三段论进行解读，在教理上必须要引申出第三重和第四重二谛，否则三段论不好解读。第三重、第四重二谛是我们这一次学习的一个重点、难点。,,正确,要对《金刚经》三段论进行解读，在教理上必须要引申出第三重和第四重二谛。不能引申到第三、四重二谛，三段论不好解读。因此，接下来将进入到我们这一次学习的一个重点、难点，即教理上的第三重、第四重二谛。,0,/Users/apple/study/buddhism/output/quizzes.csv
033,庄严佛土,19,简答题,【简答题】简述什么是“通愿”与“别愿”，并分别举例说明。,,"通愿（共愿）：四弘誓愿也叫作“通愿”，也叫作“共愿”，是修行大乘佛法的人、誓愿成就无上菩提的众生都要发的愿，是大乘佛法世俗谛菩提心的根本愿心。
别愿：具体到不同的修行者，除了要发四弘誓愿这样的共愿之外，还要发自己区别于其他众生的愿，叫作“别愿”。
举例：
四弘誓愿是通愿；阿弥陀佛的四十八愿、药师佛的十二大愿是别愿。",,1,/Users/apple/study/buddhism/output/quizzes.csv
033,庄严佛土,20,简答题,【简答题】简述“四弘誓愿”的具体内容和解释，并定位四弘誓愿与世俗谛菩提心的关系。,,"“四弘誓愿”即众生无边誓愿度，烦恼无尽誓愿断，法门无量誓愿学，佛道无上誓愿成。
“众生无边誓愿度”，一个发大乘心的人，众生虽是无边，但是我要发愿度尽一切众生。
“烦恼无尽誓愿断”，修行就是要断除一切众生的烦恼。
“法门无量誓愿学”，因为众生根性的差别，佛陀为了度众生说了种种的法门，发大乘心的菩萨，要度一切众生，就必须无量的法门都要学，才有度无边众生的可能。
“佛道无上誓愿成”，就是经过修行，要度一切众生成就无上的佛道。
“四弘誓愿”与世俗谛菩提心的关系：
四弘誓愿也叫作“通愿”、“共愿”，是修行大乘佛法的人、誓愿成就无上菩提的众生都要发的愿，是大乘佛法世俗谛菩提心的根本愿心。",,1,/Users/apple/study/buddhism/output/quizzes.csv
033,庄严佛土,21,论述题,【论述题】简述阿弥陀佛别愿的要点，以及与药师琉璃光佛别愿的区别。作为大乘修行者，在修持和弘扬阿弥陀佛法门和药师佛法门上应该采取什么样的态度？,,"弥陀别愿：
《无量寿经》云，阿弥陀佛在因地发了四十八个大愿，这就是阿弥陀佛的别愿。
阿弥陀佛在因地发愿所成就的净土，叫作极乐世界。
弥陀别愿要点：
（1）不退转果：生到极乐世界的众生，在修行历程中只前进不后退。
（2）临终接引：愿生此世界，平时念我名号，临终时，可能嘴不能念名号，但心中挂念，一定会被接引到此世界，绝不拒签。
药师别愿：
《药师琉璃光如来本愿功德经》云，药师琉璃光佛在因地发了十二个大愿。愿圆满了所成就的净土，叫作净琉璃世界。
两者的核心区别：
阿弥陀佛的极乐世界叫“西方极乐世界”，药师琉璃光佛的净琉璃世界叫“东方净琉璃世界”。东、西是表法的：东边是太阳初升的地方，因此表生，西边是太阳落山的地方，因此表死。
别愿区别就是，阿弥陀佛的愿重在死后接引往生极乐世界，药师佛的大愿重在当下，在众生生的时候利益众生，而引导众生趋向无上菩提。所以一个是以生度众生，一个是以死度众生。
两部法要等持：
东方净琉璃世界的药师琉璃光佛和西方极乐世界的阿弥陀佛，一东一西，一生一死，生死不二。这两部法在行持和弘扬上，一定要等持。",,1,/Users/apple/study/buddhism/output/quizzes.csv
034,熏习：佛教教理体系,1,多选题,1．【多选题】关于人天乘、小乘和大乘佛法，下列选项中说法正确的有哪些？,A. 认同了三世说生命观，但生不起出离心的人，佛陀为他们讲了人天乘的法。 || B. 认同了三世说生命观又能生起出离心，但生不起菩提心的人，佛陀给他们说了小乘佛法。 || C. 佛陀认同了三世说生命观又能够生起出离心，还能够生起菩提心的人，说了大乘佛法。 || D. 小乘法还有另外一个名字，叫作“声闻乘”。,ABCD,佛陀显教的教理，分为三乘，即人天乘、小乘和大乘。认同了三世说生命观，但生不起出离心的人，佛陀为他们讲了人天乘的法。认同了三世说生命观又能生起出离心，但生不起菩提心的人，佛陀给他们说了小乘佛法的法。小乘法还有另外一个名字，叫作“声闻乘”。佛陀给认同了三世说生命观又能够生起出离心，还能够生起菩提心的人，说了大乘佛法。,0,/Users/apple/study/buddhism/output/quizzes.csv
034,熏习：佛教教理体系,2,判断题,2．【判断题】没有生起出离心也有发起菩提心的可能性，菩萨心的生起并不需要以出离心做基础。,,错误,有没有可能没有生起出离心而能发起菩提心，这种可能性有吗？没有。没有出离心做基础的菩提心是伪菩提心。,0,/Users/apple/study/buddhism/output/quizzes.csv
034,熏习：佛教教理体系,3,多选题,3．【多选题】下列选项中对《解深密经》的三时判教理解正确的有哪些？,A. 人天乘法被称为初时教法，小乘佛法被称为二时教法，大乘佛法被称为三时教法。 || B. 《解深密经》把佛陀显教的教理分成三套名言系统，叫作“三时判教”。 || C. 初时教法也称为初转法轮，二时教法也称为第二转法轮，三时教法也称为第三转法轮。 || D. “三时判教”又叫“三转法轮”，在藏传佛教中，更喜欢用三转法轮这样的称呼。,BCD,小乘佛法又被称为初时教法，而大乘佛法分为二时教法和三时教法。《解深密经》把佛陀显教的教理分成了三套名言系统，叫作“三时判教”，三时判教还有另外一个名字，叫作“三转法轮”。初时教法，也称为佛陀的初转法轮，二时教法也被称为佛陀的第二转法轮，三时教法也被称为佛陀的第三转法轮。在藏传佛教中，仁波切们、堪布们讲法的时候，更喜欢用三转法轮这样的称呼。,0,/Users/apple/study/buddhism/output/quizzes.csv
034,熏习：佛教教理体系,4,多选题,4．【多选题】关于大乘佛法的横向教法体系，下列选项中说法正确的有哪些？,A. 佛陀横向的教法体系分为前、后两部分：先补损减，后破增益。 || B. 横向教法体系的第一部分是破增益，佛陀要建立种种的方便善巧，告诉我们，凡夫自以为的真实世界，其实一点儿都不真实。 || C. 横向教法体系的第二部分是补损减，不需要学习第一部分教理，佛陀可以直接给众生讲什么才是佛陀证悟的真正的真实。 || D. 大乘佛法横向的教法体系首破增益，次补损减。,BD,对于大乘佛法即佛陀的二时教法和三时教法，非常清晰，佛陀横向的教法体系分为前、后两部分。第一部分是破增益，佛陀要建立种种的方便善巧，告诉我们，我们凡夫自以为的真实世界，其实一点儿都不真实，这是教法的第一部分。第二部分是补损减，通过前面这部分教理的学习，有些众生已经认同了释迦牟尼关于凡夫境界是不真实的这个道理，佛陀给这些众生讲什么才是佛陀证悟的真正的真实。大乘佛法横向的教法体系首破增益，次补损减，要予以重点关注。,0,/Users/apple/study/buddhism/output/quizzes.csv
034,熏习：佛教教理体系,5,多选题,5．【多选题】依据课程内容，如果对佛陀教法的横向教理体系不清晰，会造成什么后果？,A. 学来学去思想混乱 || B. 引发教派之争 || C. 进行很多激烈的学术纷争 || D. 不明白佛陀想干什么,ABCD,有人学习佛陀的教法，学来学去思想混乱，还有教派之争，进行很多激烈的学术纷争，为什么？造成的原因，其实在很大程度上，是对佛陀教法的横向体系不清晰。很多人读了很多佛教经典，可就不明白佛陀想干什么。为什么我们要安立横向的教法体系？只有把横向的教法体系搞清晰，佛陀的教法才会清楚地呈现在我们眼前。,0,/Users/apple/study/buddhism/output/quizzes.csv
034,熏习：佛教教理体系,6,多选题,【多选题】依据课程内容，为什么佛陀给出的引领着众生走向解脱的方案是“打破无明见真实”？,A. 因为佛陀认为我们这些凡夫之所以轮回于生死，最根本的原因是无明。 || B. 无明就是糊涂，对佛陀证悟的真实性的糊涂，把见到了桌椅板凳、山河大地，自以为真实，而佛陀说这一点都不真实，都是凡夫的颠倒梦想。 || C. 正是因为我们见不到真实，所以众生的行为背离真实；背离真实的行为就会造业，造业了就会轮回。 || D. 佛陀把我们凡夫轮回的根本原因，归结为无明，因此佛陀给出的引领着众生走向解脱的方案就是：“打破无明见真实。”,ABCD,佛陀安立这样的横向教法体系，就是因为佛陀认为我们这些凡夫之所以轮回于生死，最根本的原因是无明。无明就是糊涂，对佛陀证悟的真实性的糊涂。佛陀认为我们这些凡夫没有见到真实，我们见到了桌椅板凳、山河大地，自以为真实，佛陀说这一点都不真实，都是我们凡夫的虚妄分别、颠倒梦想。正是因为我们见不到真实，所以众生的行为背离真实；背离真实的行为就会造业，造业了就会轮回。所以佛陀把凡夫轮回的根本原因，归结为无明，因此佛陀给出的引领着众生走向解脱的方案，概括为一句话就是：“打破无明见真实。”,0,/Users/apple/study/buddhism/output/quizzes.csv
034,熏习：佛教教理体系,7,单选题,7．【单选题】依据课程内容，妨碍着凡夫见到佛陀证悟的真正真实的最大障碍是什么？,A. 凡夫读经太多，思想混乱了。 || B. 凡夫死死地抓住了一个在佛陀这样的智者看来根本不真实的世界当作了真实。 || C. 凡夫不理解什么才是佛陀证悟的真正真实。 || D. 凡夫把真实当成了不真实。,B,无明所障的凡夫，导致了一个严重的后果就是，我们凡夫死死地抓住了一个在佛陀这样的智者看来根本不真实的世界当作了真实，这是妨碍着我们凡夫见到佛陀证悟的真正真实的最大障碍。因此，要见到佛陀证悟的真实，就必须首先铲除妨碍我们见真实的这个障碍，就是要把不真实的当了真实这样一个障碍首先铲除。,0,/Users/apple/study/buddhism/output/quizzes.csv
034,熏习：佛教教理体系,8,单选题,8．【单选题】依据课程内容，下列选项中关于破增益理解错误的是哪个？,A. 破增益是佛陀教法的横向体系的第二部分。 || B. 破增益就是佛陀从不同角度、不同层次、安立不同的名言系统，建立各种的方便善巧，想让凡夫知道：凡夫境界一点儿都不真实。 || C. 用三个词来表达破增益的教理就是：解构、颠覆和破除。 || D. 破增益就是佛陀在解构凡夫自以为的真实世界，佛陀在颠覆凡夫对自以为的真实世界的理解，佛陀在破除凡夫的境界。,A,佛陀教法的横向体系的第一部分破增益，就是佛陀他老人家掰开了、揉碎了，从不同角度、不同层次、安立不同的名言系统，建立了各种的方便善巧，要干一件事，即让我们凡夫知道：我们凡夫的境界，一点儿都不真实。用三个词来表达佛陀的这段教理，就是：解构、颠覆和破除。佛陀在干什么？佛陀在解构我们凡夫自以为的真实世界，佛陀在颠覆我们凡夫对自以为的真实世界的理解，佛陀在破除我们凡夫的境界。,0,/Users/apple/study/buddhism/output/quizzes.csv
034,熏习：佛教教理体系,9,多选题,9．【多选题】依据课程内容，下列选项中关于补损减理解正确的有哪些？,A. 佛法的修证次第，可以先补损减，后破增益。 || B. 在破增益的基础上，佛陀给已经清醒意识到了凡夫境界是不真实的人，讲佛陀证悟的真正真实是什么，这是补损减。 || C. 破增益和补损减这前后的次序是不能搞反的，这是修行的次第。 || D. 佛陀对那些破了增益的、认同佛陀关于凡夫境界一切的存在都是不真实的众生，讲什么才是佛陀证悟的真正真实，这就是补损减。,BCD,在破增益基础之上，佛陀给那些通过这第一部分教理的学习已经清醒意识到了我们凡夫境界是不真实的人，讲佛陀证悟的真正真实是什么。这就是佛陀教法前、后两部分体系，也就是破增益和补损减。这前后的次序是不能搞反的，这是修行的次第。这两部分教理就是破增益和补损减。佛陀对那些破了增益的、认同佛陀关于凡夫境界一切的存在都是不真实的众生，讲什么才是佛陀证悟的真正真实，这就是补损减。,0,/Users/apple/study/buddhism/output/quizzes.csv
034,熏习：佛教教理体系,10,多选题,10．【多选题】下列选项中关于增益和损减，理解正确的有哪些？,A. 增益就是佛陀所证悟的真正的真实根本不存在，是凡夫强加上去的。 || B. 增益就是我们凡夫把不真实的当成了真实，凡夫强加上去的，佛陀首先要把它铲除掉。 || C. 损减就是因为我们把虚假的现象当真实，就见不到现象背后的本质与真实。 || D. 损减就是因为我们把不真实的当成了真实，所以我们见不到佛陀所证悟的真正的真实。,BD,什么是增益？就是我们凡夫把不真实的当成了真实，你强加上去的，佛陀首先要把它铲除掉。什么叫损减？因为增益，因为我们把不真实的当成了真实，所以我们见不到佛陀所证悟的真正的真实。,0,/Users/apple/study/buddhism/output/quizzes.csv
034,熏习：佛教教理体系,11,多选题,11．【多选题】依据课程内容，对凡夫而言，学佛难，是难在哪里？,A. 对凡夫而言，破增益是重头戏，学佛难就难在这里。 || B. 对凡夫而言，补损减是重头戏，学佛难就难在这里。 || C. 学佛难，就难在看不懂佛经。 || D. 学佛难在过去多生累劫、相似相续过程中所积淀下对世界的理解，要被佛陀解构、颠覆、破除掉。,AD,对凡夫而言，破增益是重头戏。学佛难就难在这里。我们几十年所形成的思想观念——不仅仅是几十年，实际是过去多生累劫、相似相续过程中所积淀下对世界的这样一种理解——要被佛陀解构掉、要被佛陀颠覆掉、要被佛陀破除掉。这是何其之难！,0,/Users/apple/study/buddhism/output/quizzes.csv
034,熏习：佛教教理体系,12,多选题,12．【多选题】依据课程内容，对于“人我执和法我执”，下列选项中说法正确的有哪些？,A. 佛陀把我们凡夫自以为的真实世界分成了两个部分：人我执和法我执。 || B. 内在主观心灵世界的真实存在，叫人我执。 || C. 外在客观物质世界的真实存在，叫法我执。 || D. 佛陀解构我们，就是解构我们的人我执和法我执。,AD,佛陀把我们凡夫自以为的真实世界分成了两个部分：第一叫人我执，第二叫法我执——也就是我们凡夫心里自以为的真实：第一，内在主观心灵世界的真实存在；第二，外在客观物质世界的真实存在。佛陀解构我们，就是解构我们的人我执和法我执。,0,/Users/apple/study/buddhism/output/quizzes.csv
